"Gene","ModuleColor"
"POU2F1.11715.1.3",0
"LRIT2.11716.28.3",0
"JAK2.11816.84.3",1
"PPARGC1A.11825.27.3",0
"RORC.11827.7.3",0
"TNFRSF18.11837.7.3",0
"PIEZO1.11838.130.3",0
"PCDHGB1.11872.9.3",0
"DLX4.11910.27.3",1
"LRRC4B.11911.13.3",0
"AAGAB.11926.23.3",1
"INTS3.11934.9.3",0
"IGDCC3.11952.1.3",0
"ARHGAP1.11955.1.3",0
"CRABP1.11967.23.3",2
"S100A2.11969.5.3",0
"PTPRH.11988.24.3",2
"EMC1.11989.35.3",0
"TJP1.12001.7.3",2
"CD7.12008.3.3",0
"PTS.12014.19.3",3
"CBL.12016.60.3",1
"TPK1.12018.84.3",0
"BPGM.12020.39.3",0
"SMAD4.12022.12.3",1
"DES.12030.82.3",2
"BUB1.12033.3.3",0
"CAP1.12034.28.3",1
"HSPA1L.12041.33.3",2
"TARDBP.12046.51.3",2
"RPS6KA1.12329.21.3",4
"EEF2K.12332.7.3",1
"RPIA.12333.87.3",0
"SHMT1.12334.25.3",1
"EGFLAM.12338.27.3",4
"AARS1.12340.17.3",1
"DUSP6.12341.8.3",1
"ACAP2.12343.14.3",3
"ANAPC10.12345.4.3",3
"CCM2.12347.29.3",2
"SARS2.12348.46.3",1
"ETS2.12350.86.3",0
"ARRDC3.12352.70.3",0
"MRRF.12355.223.3",0
"SRI.12356.65.3",1
"SNAP29.12357.41.3",1
"IGBP1.12358.6.3",1
"RRAS2.12361.102.3",0
"TRIB2.12363.70.3",0
"RUVBL1.12365.108.3",0
"CRYGD.12366.16.3",0
"MACO1.12367.52.3",0
"KAT2B.12368.18.3",0
"APOF.12370.30.3",4
"TRA2B.12373.73.3",3
"PAFAH1B3.12374.8.3",1
"CDKN2D.12376.85.3",1
"TAPBP.12378.71.3",1
"CBR1.12381.26.3",0
"DDX58.12382.2.3",0
"COPS7B.12384.92.3",0
"CAPN3.12385.4.3",0
"RNPEP.12386.11.3",4
"PDLIM4.12387.7.3",0
"ORC6.12389.4.3",3
"PDZD7.12391.27.3",6
"ARL1.12392.30.3",5
"C16orf54.12394.53.3",0
"DARS2.12395.86.3",1
"HIBCH.12396.19.3",1
"PAX4.12398.15.3",3
"CCDC50.12399.194.3",1
"UBE2T.12400.25.3",1
"STAMBPL1.12401.3.3",0
"RAB39B.12403.30.3",2
"DIRAS3.12406.119.3",0
"RAB22A.12408.333.3",1
"RAB7B.12409.90.3",0
"MAX.12411.60.3",1
"EDF1.12415.122.3",2
"TPRKB.12417.46.3",2
"GPD1L.12420.10.3",2
"ALOX15B.12422.143.3",0
"A1CF.12423.38.3",0
"THYN1.12424.107.3",3
"ARF6.12425.104.3",0
"MOB1A.12426.19.3",0
"CDC25B.12427.8.3",2
"LYPLAL1.12428.2.3",0
"PAIP1.12430.78.3",1
"PELO.12431.13.3",0
"CACYBP.12432.23.3",1
"ARL11.12433.8.3",1
"IST1.12434.25.3",1
"GSTO1.12436.84.3",0
"ULK3.12437.18.3",0
"MPG.12438.127.3",3
"IRF9.12439.67.3",0
"RHOD.12442.4.3",1
"NR5A2.12444.39.3",0
"ANKRD27.12445.50.3",2
"PPIH.12449.16.3",1
"PMVK.12450.42.3",1
"BACH1.12451.62.3",2
"KMT5C.12452.32.3",2
"NXF1.12453.161.3",3
"NTMT1.12454.105.3",0
"MYNN.12455.48.3",1
"PFKFB3.12456.5.3",2
"ADI1.12457.10.3",0
"CHP1.12458.79.3",1
"PLEKHA1.12459.13.3",0
"PSMA7.12460.18.3",1
"SIRT5.12461.8.3",0
"SETMAR.12462.20.3",0
"KLHL13.12463.7.3",1
"HNRNPA1.12466.7.3",3
"MAPRE1.12469.19.3",1
"STAU1.12471.47.3",1
"KCTD5.12473.48.3",2
"CLIC5.12475.48.3",1
"TIGAR.12476.50.3",0
"TSN.12477.42.3",1
"RPL30.12478.15.3",3
"PRKAR1B.12479.50.3",1
"OTUD5.12480.9.3",2
"BPTF.12482.5.3",1
"RORB.12483.62.3",0
"PITPNB.12484.67.3",2
"GLRX2.12486.8.3",1
"MCTS1.12488.9.3",3
"LAMTOR3.12490.92.3",3
"OTUB2.12493.42.3",3
"GABARAPL2.12494.99.3",1
"NUDT16L1.12497.29.3",1
"TAX1BP3.12498.12.3",1
"SH3GL2.12499.108.3",1
"UBA2.12500.88.3",1
"TBCA.12501.10.3",7
"GPR68.12503.5.3",4
"LMOD1.12504.26.3",2
"ITPKC.12507.16.3",1
"CHMP3.12508.9.3",1
"COMMD1.12509.115.3",0
"STAP1.12510.3.3",1
"SLC41A2.12511.83.3",2
"GLTP.12513.8.3",0
"METTL1.12514.16.3",1
"UCK2.12515.45.3",1
"TEAD4.12516.13.3",0
"PDCD5.12517.52.3",1
"PBRM1.12518.289.3",3
"CDKN2C.12521.3.3",2
"RAD23B.12522.6.3",1
"SAT2.12524.18.3",0
"THRA.12527.50.3",2
"WRNIP1.12528.40.3",1
"FKBP6.12529.32.3",0
"CKS1B.12530.14.3",0
"CDC34.12532.28.3",0
"CYTH2.12533.135.3",1
"CALCOCO2.12534.10.3",0
"XRCC1.12535.2.3",0
"MTMR6.12536.46.3",2
"PURA.12537.88.3",1
"RGS7.12538.19.3",0
"RHOG.12540.25.3",1
"ZNF560.12543.76.3",0
"SMTN.12546.1.3",1
"RRAGC.12548.75.3",0
"HPGDS.12549.33.3",4
"ITCH.12551.3.3",0
"VRK1.12553.5.3",3
"RAD51D.12554.10.3",1
"UBE2C.12556.7.3",0
"NOVA1.12557.18.3",0
"UBASH3B.12558.3.3",1
"NT5C.12560.9.3",1
"PKN1.12562.1.3",1
"TNFAIP8.12563.2.3",1
"NIP7.12564.9.3",1
"KEAP1.12568.14.3",0
