"Gene","ModuleColor"
"MRRF.12355.223.3",1
"SRI.12356.65.3",1
"SNAP29.12357.41.3",1
"IGBP1.12358.6.3",1
"RRAS2.12361.102.3",1
"TRIB2.12363.70.3",1
"RUVBL1.12365.108.3",1
"CRYGD.12366.16.3",1
"MACO1.12367.52.3",1
"KAT2B.12368.18.3",1
"APOF.12370.30.3",4
"TRA2B.12373.73.3",1
"PAFAH1B3.12374.8.3",1
"CDKN2D.12376.85.3",1
"TAPBP.12378.71.3",1
"CBR1.12381.26.3",2
"DDX58.12382.2.3",1
"COPS7B.12384.92.3",1
"CAPN3.12385.4.3",1
"RNPEP.12386.11.3",1
"PDLIM4.12387.7.3",2
"ORC6.12389.4.3",1
"PDZD7.12391.27.3",1
"ARL1.12392.30.3",1
"C16orf54.12394.53.3",1
"DARS2.12395.86.3",3
"HIBCH.12396.19.3",1
"PAX4.12398.15.3",2
"CCDC50.12399.194.3",1
"UBE2T.12400.25.3",0
"STAMBPL1.12401.3.3",2
"RAB39B.12403.30.3",2
"DIRAS3.12406.119.3",0
"RAB22A.12408.333.3",1
"RAB7B.12409.90.3",1
"MAX.12411.60.3",1
"EDF1.12415.122.3",1
"TPRKB.12417.46.3",1
"GPD1L.12420.10.3",1
"ALOX15B.12422.143.3",0
"A1CF.12423.38.3",1
"THYN1.12424.107.3",1
"ARF6.12425.104.3",1
"MOB1A.12426.19.3",1
"CDC25B.12427.8.3",1
"LYPLAL1.12428.2.3",1
"PAIP1.12430.78.3",1
"PELO.12431.13.3",1
"CACYBP.12432.23.3",2
"ARL11.12433.8.3",2
"IST1.12434.25.3",1
"GSTO1.12436.84.3",1
"ULK3.12437.18.3",1
"MPG.12438.127.3",1
"IRF9.12439.67.3",1
"RHOD.12442.4.3",1
"NR5A2.12444.39.3",0
"ANKRD27.12445.50.3",1
"PPIH.12449.16.3",3
"PMVK.12450.42.3",1
"BACH1.12451.62.3",1
"KMT5C.12452.32.3",1
"NXF1.12453.161.3",1
"NTMT1.12454.105.3",1
"MYNN.12455.48.3",1
"PFKFB3.12456.5.3",1
"ADI1.12457.10.3",1
"CHP1.12458.79.3",2
"PLEKHA1.12459.13.3",1
"PSMA7.12460.18.3",2
"SIRT5.12461.8.3",1
"SETMAR.12462.20.3",0
"KLHL13.12463.7.3",1
"HNRNPA1.12466.7.3",1
"MAPRE1.12469.19.3",2
"STAU1.12471.47.3",1
"KCTD5.12473.48.3",1
"CLIC5.12475.48.3",0
"TIGAR.12476.50.3",0
"TSN.12477.42.3",3
"RPL30.12478.15.3",3
"PRKAR1B.12479.50.3",1
"OTUD5.12480.9.3",1
"BPTF.12482.5.3",1
"RORB.12483.62.3",2
"PITPNB.12484.67.3",1
"GLRX2.12486.8.3",2
"MCTS1.12488.9.3",1
"LAMTOR3.12490.92.3",1
"OTUB2.12493.42.3",1
"GABARAPL2.12494.99.3",2
"NUDT16L1.12497.29.3",2
"TAX1BP3.12498.12.3",1
"SH3GL2.12499.108.3",1
"UBA2.12500.88.3",0
"TBCA.12501.10.3",1
